customer_id,credit_score,age,balance,products_number,credit_card,active_member,estimated_salary,tenure,churn
1,557,41,36275.01046418658,4,0,0,123247.4516480753,5,0
2,817,45,12648.418359530373,1,0,0,32687.193862516655,3,0
3,578,65,35770.44409120805,3,0,1,147862.3690660445,2,1
4,332,80,85023.89296863883,4,1,1,49401.153681180185,5,0
5,559,61,33989.04807398948,2,0,0,142063.59019024624,8,0
6,387,50,14055.54247528068,4,1,0,142489.2938499992,3,0
7,440,54,116395.36857304389,2,0,0,26671.32926948499,7,0
8,492,27,91160.1068231371,1,0,0,79301.15252068726,3,0
9,707,80,186795.43161864928,2,0,0,61105.635300176866,5,0
10,792,44,120809.33689722259,3,1,0,128012.83831076648,1,0
11,753,30,113545.8007990197,4,1,0,90308.44354336662,7,0
12,452,69,23335.105171770203,2,0,0,96133.39126663817,9,1
13,798,67,84395.34477243706,2,1,1,23799.54561666957,1,0
14,776,21,209700.42002721684,2,1,1,127686.09989248574,8,0
15,772,66,78080.72158386941,1,0,1,120144.44553211716,3,0
16,506,29,99262.24683053112,1,0,0,76983.68786515889,4,0
17,345,19,80762.79105908796,2,1,0,101099.72269447062,1,0
18,360,23,239150.10561166645,4,0,0,31066.69363881392,5,0
19,524,70,213349.4595242566,1,1,1,124792.96818040145,8,0
20,754,24,37268.17890133016,1,1,1,25809.040474808236,8,0
21,584,54,126273.79759658985,1,1,1,68397.22202786081,1,0
22,409,32,206727.45720880767,3,1,1,121153.35290582516,9,0
23,560,26,184196.36876780808,3,1,0,66444.03683301159,3,0
24,563,23,215113.73551634554,2,1,0,37087.89637259093,1,0
25,728,76,69477.03729993018,2,0,1,44936.90511587003,5,0
26,545,86,24171.84773710404,4,0,1,80556.10848051289,1,1
27,460,38,140372.38817535364,3,0,1,31931.662453498197,4,0
28,824,88,69025.22288049053,4,0,0,58378.45145920346,1,0
29,741,45,198696.36780072263,3,1,0,148956.1801018087,2,0
30,493,43,127464.05433482728,2,0,0,41720.141323576805,1,0
31,829,52,46989.823374943975,1,1,1,122671.76140953178,2,1
32,837,58,220094.7558185338,3,0,1,114627.33478482957,9,0
33,475,84,9230.052951512691,4,1,1,115928.27161745614,2,1
34,558,22,47771.96708019068,4,1,1,48891.33237212668,9,0
35,764,33,69293.87633732229,2,1,0,133351.76379163784,7,0
36,843,89,147909.78849046546,2,0,0,28535.82408764066,3,0
37,305,80,146704.6180650244,1,1,0,148111.6003411736,3,1
38,789,34,14393.375957506061,3,1,0,56331.98295352055,5,0
39,560,45,75248.51774950179,4,1,0,82497.61065866154,7,0
40,502,48,192694.61511936682,1,1,0,81303.31854264875,9,0
41,551,81,142199.3091127394,2,1,1,50319.68069794275,9,0
42,472,89,151556.78329195615,2,1,1,89730.23578517616,8,0
43,383,86,149438.06117957263,3,0,0,116617.65592849813,2,1
44,519,77,208423.93588833875,3,1,1,130387.72376602369,4,0
45,817,61,156599.23560065022,3,1,0,146514.17919107445,5,0
46,536,61,241394.6386707276,4,0,0,145205.18575476957,3,0
47,597,83,151410.36457156492,3,0,1,51878.983457995084,8,0
48,395,84,106084.20467873545,1,1,1,86762.5146171164,5,1
49,685,65,37995.90718331317,4,0,1,134298.84494394652,8,0
50,585,84,244383.32385796966,2,0,1,70436.67866155447,7,0
51,467,56,83305.24770504955,4,1,0,124805.43285849232,9,0
52,659,32,31464.605789277095,1,0,0,137349.01429623977,9,0
53,707,75,94800.81270894455,4,1,1,38457.73643730678,4,0
54,522,83,149879.32479414405,1,1,1,116800.93846144437,9,0
55,453,60,124495.92366040038,4,1,1,149911.21980991983,1,0
56,846,54,194396.17761286502,2,1,1,43915.678478630296,5,0
57,416,43,53170.355608832266,2,1,0,63820.55974129441,2,0
58,776,77,68897.14820217859,2,1,0,144937.62472682685,6,0
59,788,58,7914.791986785991,1,0,1,143669.50808154925,4,0
60,532,44,218750.55844888135,4,0,1,72219.81374607299,8,0
61,657,60,17731.476962266344,2,1,0,79106.56747137701,3,0
62,789,85,80550.69249819832,3,1,0,31358.588390330995,5,0
63,596,34,42941.13011026299,1,1,1,98452.22218441614,9,0
64,666,34,1771.047516987867,4,1,0,34149.99682838433,8,0
65,343,77,64168.75659413887,3,0,0,80569.17174994462,6,0
66,357,60,101723.16883121686,1,1,0,27503.87386476907,3,0
67,758,24,191592.84894984722,4,1,1,84047.6135073721,3,0
68,717,53,159268.5852670499,3,0,1,68676.57615604543,9,0
69,815,76,161097.3948331509,3,0,0,84873.95954662983,4,0
70,564,85,92439.13722003446,1,0,1,49908.5642887773,9,0
71,444,82,111897.13393015089,3,1,1,147421.7351977987,1,1
72,844,88,122089.51159083517,1,1,1,42515.46261402707,8,0
73,602,83,20996.79858654077,2,0,1,136111.67633845765,1,1
74,509,29,138966.6708073373,3,0,1,46767.021706946274,5,0
75,398,80,10350.247260667938,1,1,0,28715.68293884824,9,1
76,638,21,70613.4002427962,1,1,0,63360.27068501252,8,0
77,407,75,227850.81953536463,3,0,0,141910.74701859226,6,0
78,806,19,213156.0623529709,2,0,0,40441.788186124184,2,0
79,637,39,168960.5709784483,4,0,1,47793.160369053076,3,0
80,660,55,28614.778439960188,4,0,1,61513.80149164974,4,0
81,633,75,188014.62701217373,1,1,0,26462.844548654626,7,0
82,464,72,107712.46755741487,1,0,1,106880.90078713144,9,1
83,558,27,198708.39304164026,2,0,0,95933.13406338115,7,0
84,849,75,42349.32976107886,3,1,1,140885.27072982054,5,0
85,385,56,102046.80767228988,2,0,1,22936.56266152902,2,0
86,327,80,28079.7645978626,4,1,1,79706.01576186437,8,1
87,572,51,100315.1480359166,2,1,1,102887.35005805857,2,0
88,451,78,16917.987518231814,4,1,0,138393.90958739773,7,1
89,364,37,79791.69985367448,2,0,0,121047.06139951272,4,0
90,509,44,225132.08245528903,1,1,0,146294.75035183557,9,0
91,586,25,171180.24245756533,2,1,1,40056.03135254765,5,0
92,511,51,66054.16488872717,4,1,1,31368.393006406768,8,0
93,657,86,65599.49508065982,1,1,1,26621.479464221284,2,1
94,409,34,245296.5620989158,4,0,1,45336.80390951592,8,0
